Year,Value
1900,4.8
1905,0.8
1910,1.2
1914,0.0
1915,12.5
1916,18.1
1917,25.2
1918,22.0
1919,10.0
1920,15.4
1921,-8.5
1922,-14.0
1923,-6.2
1924,0.6
1925,0.0
1930,-3.3
1931,-3.4
1932,-3.5
1933,-3.6
1934,0.0
1935,1.9
1939,2.8
1940,16.7
1941,10.7
1942,6.5
1943,3.0
1944,2.9
1945,3.8
1946,3.7
1947,7.0
1948,7.7
1949,2.8
1950,2.8
1951,9.1
1952,9.2
1955,4.5
1960,1.0
1965,4.8
1970,6.4
1971,9.4
1972,7.1
1973,9.2
1974,16.0
1975,24.2
1976,16.5
1977,15.8
1978,8.3
1979,13.4
1980,18.0
1981,11.9
1982,8.6
1983,4.6
1985,6.1
1990,9.5
1991,5.9
1992,3.7
1995,3.5
2000,3.0
2005,2.8
2008,4.0
2009,-0.5
2010,4.6
2011,5.2
2015,0.0
2020,0.9
2021,2.6
2022,9.1
2023,7.3
2024,3.2
2025,2.4
