Year,GDP_Growth
1900,1.9
1905,2.1
1910,2.5
1914,0.9
1915,7.3
1916,1.8
1917,0.4
1918,1.2
1919,-9.1
1920,-5.2
1921,-9.7
1922,6.7
1923,3.5
1924,4.2
1925,5.1
1926,-3.9
1927,7.8
1928,1.4
1929,2.8
1930,-0.7
1931,-5.1
1932,0.3
1933,3.0
1934,6.4
1935,4.3
1936,4.6
1937,3.5
1938,0.9
1939,1.0
1940,9.0
1941,8.0
1942,2.3
1943,2.4
1944,-3.2
1945,-4.6
1946,-0.5
1947,-2.0
1948,3.2
1949,3.6
1950,3.3
1955,3.8
1960,5.6
1965,2.6
1970,2.6
1973,6.5
1974,-2.5
1975,-1.5
1979,3.7
1980,-2.0
1981,-1.2
1982,2.0
1985,4.2
1988,5.8
1990,0.7
1991,-1.1
1992,0.4
1995,2.5
2000,3.7
2005,3.2
2008,-0.2
2009,-4.5
2010,2.4
2015,2.9
2019,1.6
2020,-10.4
2021,8.7
2022,4.3
2023,0.1
2024,0.8
2025,1.5
