Year,Value
1900,0.8
1905,1.2
1910,1.8
1914,-0.5
1915,6.5
1916,1.0
1917,-0.2
1918,0.5
1919,-9.5
1920,-6.0
1921,-10.5
1922,6.0
1923,3.0
1924,3.5
1925,4.5
1930,-1.2
1931,-5.6
1932,0.0
1933,2.5
1939,0.5
1940,8.5
1941,7.5
1944,-3.8
1945,-5.2
1946,-1.0
1950,2.8
1955,3.4
1960,4.9
1965,2.1
1970,2.2
1973,6.0
1974,-2.8
1975,-1.8
1980,-2.3
1981,-1.5
1982,1.8
1985,3.9
1988,5.5
1990,0.3
1991,-1.5
1995,2.2
2000,3.3
2005,2.5
2008,-0.9
2009,-5.1
2010,1.8
2015,2.1
2019,1.1
2020,-10.8
2021,8.3
2022,3.8
2023,-0.7
2024,-0.3
2025,0.9
