Year,Inflation,Debt_GDP,GDP_Growth,Unemployment
1950,2.8,198.0,3.2,1.6
1955,4.5,150.2,3.5,1.2
1960,1.0,105.3,5.6,1.6
1965,4.8,78.2,2.4,1.4
1970,6.4,61.4,2.5,2.6
1971,9.4,59.2,2.1,3.5
1972,7.1,56.5,4.3,3.8
1973,9.2,51.9,6.5,2.7
1974,16.0,52.3,-2.5,2.6
1975,24.2,46.5,-1.5,4.1
1976,16.5,49.8,2.9,5.5
1977,15.8,50.1,2.4,6.0
1978,8.3,48.2,4.2,5.7
1979,13.4,43.5,3.7,5.3
1980,18.0,42.5,-2.0,6.8
1981,11.9,44.7,-1.2,10.4
1982,8.6,43.3,2.0,11.3
1983,4.6,42.8,3.9,11.8
1984,5.0,43.6,2.6,11.8
1985,6.1,41.9,3.9,11.4
1986,3.4,41.2,3.3,11.4
1987,4.1,39.0,5.5,10.4
1988,4.9,35.2,5.8,8.6
1989,7.8,30.3,2.6,7.2
1990,9.5,27.5,0.7,7.1
1991,5.9,27.7,-1.1,8.9
1992,3.7,33.2,0.4,9.9
1993,1.6,38.1,2.5,10.4
1994,2.4,41.2,3.8,9.5
1995,3.5,42.3,2.5,8.6
1996,2.4,42.2,2.5,8.0
1997,3.1,41.1,3.5,6.9
1998,3.4,39.2,3.4,6.2
1999,1.5,36.7,3.3,5.9
2000,3.0,33.8,3.7,5.4
2001,1.8,31.4,2.1,5.0
2002,1.7,31.7,2.1,5.2
2003,2.9,33.0,3.0,5.0
2004,3.0,34.8,2.4,4.7
2005,2.8,36.2,2.6,4.8
2006,3.2,36.5,2.6,5.4
2007,4.3,37.3,2.3,5.3
2008,4.0,44.3,-0.2,5.7
2009,-0.5,56.7,-4.5,7.6
2010,4.6,68.9,2.4,7.9
2011,5.2,74.5,1.5,8.1
2012,2.8,78.2,1.5,8.0
2013,2.6,79.5,1.9,7.6
2014,1.5,82.4,3.2,6.2
2015,0.0,82.8,2.4,5.4
2016,0.7,83.1,2.2,4.9
2017,2.7,82.8,2.1,4.4
2018,2.5,82.6,1.7,4.1
2019,1.8,82.4,1.6,3.8
2020,0.9,94.9,-10.4,4.6
2021,2.6,95.3,8.7,4.5
2022,9.1,96.5,4.3,3.7
2023,7.3,97.1,0.1,3.8
