Year,Value
1900,
1952,4.1
1955,3.8
1960,3.5
1965,3.9
1970,4.2
1971,4.5
1972,5.1
1973,5.6
1974,4.2
1975,3.8
1976,3.6
1977,3.5
1978,3.9
1979,4.3
1980,4.0
1981,3.7
1982,3.5
1983,3.8
1984,3.9
1985,4.0
1986,4.3
1987,4.8
1988,5.4
1989,5.8
1990,5.0
1991,4.5
1992,3.9
1993,3.6
1994,3.5
1995,3.3
1996,3.4
1997,3.6
1998,3.9
1999,4.2
2000,4.6
2001,4.9
2002,5.6
2003,6.2
2004,6.8
2005,7.0
2006,7.2
2007,7.8
2008,6.9
2009,6.2
2010,6.5
2011,6.3
2012,6.2
2013,6.4
2014,6.8
2015,7.2
2016,7.6
2017,7.9
2018,7.8
2019,7.7
2020,7.9
2021,8.5
2022,8.9
2023,8.3
2024,8.1
2025,8.2
