Year,Value
1900,4.0
1901,3.5
1902,3.3
1903,3.75
1904,3.25
1905,3.0
1906,4.25
1907,5.5
1908,3.0
1909,3.1
1910,3.7
1911,3.5
1912,3.8
1913,4.8
1914,5.0
1915,5.0
1916,5.5
1917,5.5
1918,5.0
1919,5.5
1920,6.5
1921,6.1
1922,3.7
1923,3.0
1924,4.0
1925,4.6
1926,5.0
1927,4.5
1928,4.5
1929,5.5
1930,3.4
1931,3.9
1932,2.5
1933,2.0
1934,2.0
1935,2.0
1936,2.0
1937,2.0
1938,2.0
1939,2.6
1940,2.0
1941,2.0
1942,2.0
1943,2.0
1944,2.0
1945,2.0
1946,2.0
1947,2.0
1948,2.0
1949,2.0
1950,2.0
1951,2.5
1952,4.0
1953,3.5
1954,3.0
1955,4.5
1956,5.5
1957,5.5
1958,5.4
1959,4.0
1960,5.4
1961,5.6
1962,4.9
1963,4.0
1964,5.9
1965,6.4
1966,6.6
1967,6.1
1968,7.5
1969,7.9
1970,7.2
1971,5.8
1972,5.9
1973,8.9
1974,12.0
1975,11.0
1976,11.7
1977,8.0
1978,9.1
1979,14.0
1980,16.3
1981,13.8
1982,12.0
1983,10.0
1984,9.7
1985,12.2
1986,10.9
1987,9.7
1988,9.7
1989,13.9
1990,14.8
1991,11.7
1992,9.6
1993,6.0
1994,5.5
1995,6.4
1996,6.0
1997,6.6
1998,7.2
1999,5.3
2000,6.0
2001,5.1
2002,4.0
2003,3.75
2004,4.4
2005,4.7
2006,4.6
2007,5.5
2008,4.6
2009,0.6
2010,0.5
2015,0.5
2019,0.75
2020,0.2
2021,0.1
2022,1.3
2023,4.6
2024,5.25
2025,3.75
