Year,Work_Health,Work_Other,Study,Humanitarian,Asylum,Family,Net_Total
2010,0,194000,238000,0,18000,56000,256000
2011,0,183000,232000,0,19000,53000,215000
2012,0,181000,186000,0,22000,46000,177000
2013,0,209000,178000,0,24000,52000,209000
2014,0,268000,191000,0,25000,56000,313000
2015,0,296000,165000,0,32000,60000,329000
2016,0,265000,144000,0,30000,60000,248000
2017,0,258000,154000,0,27000,63000,229000
2018,18000,119000,329000,0,32000,68000,232000
2019,20000,123000,378000,0,47000,73000,219000
2020,15000,103000,288000,0,38000,62000,88000
2021,59000,110000,433000,62000,73000,75000,466000
2022,148000,135000,564000,166000,80000,79000,745000
2023,205000,156000,576000,43000,84000,82000,685000
2024,120000,140000,410000,15000,75000,60000,350000
2025,80000,135000,380000,10000,65000,55000,240000
