Year,Net_Migration,Type
1975,-42000,Net
1976,-17000,Net
1977,-14000,Net
1978,-1000,Net
1979,6000,Net
1980,-21000,Net
1981,-65000,Net
1982,-52000,Net
1983,23000,Net
1984,36000,Net
1985,57000,Net
1986,30000,Net
1987,-10000,Net
1988,-21000,Net
1989,45000,Net
1990,36000,Net
1991,44000,Net
1992,10000,Net
1993,-1000,Net
1994,77000,Net
1995,76000,Net
1996,55000,Net
1997,48000,Net
1998,140000,Net
1999,163000,Net
2000,158000,Net
2001,171000,Net
2002,153000,Net
2003,148000,Net
2004,268000,Net
2005,204000,Net
2006,198000,Net
2007,233000,Net
2008,163000,Net
2009,198000,Net
2010,252000,Net
2011,205000,Net
2012,177000,Net
2013,209000,Net
2014,313000,Net
2015,333000,Net
2016,250000,Net
2017,249000,Net
2018,232000,Net
2019,219000,Net
2020,88000,Net
2021,466000,Net
2022,745000,Net
2023,685000,Net
2024,350000,Net
2025,240000,Net
