Year,Value
1900,
1952,65000
1955,62000
1960,68000
1965,75000
1970,78000
1971,85000
1972,105000
1973,120000
1974,105000
1975,90000
1976,85000
1977,80000
1978,95000
1979,110000
1980,105000
1981,95000
1982,92000
1983,98000
1984,105000
1985,115000
1986,125000
1987,140000
1988,165000
1989,170000
1990,150000
1991,140000
1992,125000
1993,115000
1994,112000
1995,110000
1996,112000
1997,120000
1998,130000
1999,145000
2000,160000
2001,175000
2002,205000
2003,230000
2004,250000
2005,255000
2006,260000
2007,275000
2008,240000
2009,220000
2010,225000
2011,215000
2012,212000
2013,218000
2014,230000
2015,245000
2016,255000
2017,260000
2018,262000
2019,260000
2020,275000
2021,285000
2022,295000
2023,285000
2024,282000
2025,284000
