Year,Income,VAT,NI
1900,5.0,,
1910,5.8,,
1916,25.0,,
1918,30.0,,
1925,20.0,,
1930,22.5,,
1939,35.0,,
1941,50.0,,
1945,50.0,,
1950,45.0,,
1960,38.75,,
1970,41.25,,
1972,38.75,,
1973,30.0,10.0,
1974,33.0,8.0,
1975,35.0,8.0,5.5
1976,35.0,8.0,5.75
1977,34.0,8.0,5.75
1978,33.0,8.0,6.5
1979,30.0,15.0,6.5
1980,30.0,15.0,6.75
1981,30.0,15.0,7.75
1982,30.0,15.0,8.75
1985,30.0,15.0,9.0
1986,29.0,15.0,9.0
1987,27.0,15.0,9.0
1988,25.0,15.0,9.0
1991,25.0,17.5,9.0
1992,20.0,17.5,9.0
1994,25.0,17.5,10.0
1996,24.0,17.5,10.0
1997,23.0,17.5,10.0
2000,22.0,17.5,10.0
2003,22.0,17.5,11.0
2008,20.0,15.0,11.0
2010,20.0,17.5,11.0
2011,20.0,20.0,12.0
2021,20.0,20.0,12.0
2022,20.0,20.0,13.25
2023,20.0,20.0,12.0
2024,20.0,20.0,8.0
2025,20.0,20.0,8.0
