Year,Unemployment
1900,4.8
1905,4.6
1910,4.7
1913,2.1
1914,3.3
1915,1.0
1916,0.4
1917,0.6
1918,0.8
1919,2.4
1920,2.0
1921,11.3
1922,14.1
1923,11.7
1924,10.3
1925,11.3
1926,12.5
1927,9.7
1928,10.8
1929,10.4
1930,16.1
1931,21.3
1932,22.1
1933,19.9
1934,16.7
1935,15.5
1936,13.1
1937,10.8
1938,12.9
1939,11.3
1940,6.5
1941,1.7
1942,0.8
1943,0.7
1944,0.6
1945,1.3
1946,2.5
1950,1.6
1955,1.2
1960,1.7
1965,1.5
1970,2.6
1974,2.6
1975,4.1
1980,7.0
1981,10.4
1982,11.3
1983,11.8
1984,11.9
1985,11.2
1990,6.9
1993,10.3
1995,8.5
2000,5.4
2005,4.8
2008,5.7
2009,7.6
2011,8.1
2015,5.4
2019,3.8
2020,4.6
2021,4.5
2022,3.7
2023,4.0
2024,4.2
2025,4.3
